id,name,text,trans
0000000000000,{user},（レッスンの様子を見ておこう）,（來看看課程的情況吧）
0000000000000,ことね,1、2、3、4……,1、2、3、4……
0000000000000,ことね,ここで……フィニッシュ！,這裡……結束！
0000000000000,ことね,どーですか！　\nそこで見ているプロデューサー！,怎麼樣！\n在那邊看著的製作人！
0000000000000,{user},おっと……気付いていたんですね。,喔喔……原來你有注意到啊。
0000000000000,ことね,ひひ～、そー何度も\n驚かされませんってぇ。,嘻嘻～，這種驚訝的事情\n我可不會被嚇到呢。
0000000000000,ことね,で、どーですか？　あたしのダンス。,那，怎麼樣？看看我的舞蹈。
select,,素晴らしい,太棒了
select,,100点の\nダンスです,是100分的舞蹈
select,,これなら勝ったも\n同然ですね,這樣的話幾乎算是\n贏了呢
0000000000000,{user},ダンスの質において、学園内で後れを\n取ることはそうそうないでしょうね。,在舞蹈質量方面，在學園裡\n應該不會落後太多吧。
0000000000000,ことね,エヘヘヘヘ…………大絶賛じゃん。,嘿嘿嘿嘿……真是太讚了。
0000000000000,{user},事実ですから。しかも、\nまだ伸びしろがありそうです。,這是事實。而且，\n還有很大的進步空間。
0000000000000,ことね,ちょ、ちょっとプロデューサー……？\nさすがに褒めすぎじゃないかとぉ……,等、等一下製作人……？\n這樣過獎了吧……
0000000000000,{user},まさに極上の才能。\nトップアイドルの器。,確實是極具天賦。\n是頂尖偶像的料。
0000000000000,ことね,いやぁ～、それほどでも\nありますけどぉ～～～～～～～♪,哎呀～，並沒有\n那麼誇張啦～～～～～～～♪
0000000000000,ことね,もっかい！　もっかいやるので！　\nそこで見ててくださぁ～いっ♡,再來一次！我再來一次！\n請繼續看著喔～♡
0000000000000,ことね,ホントですかっ！？,真的嗎！？
0000000000000,{user},ただし……アイドルのステージに\n満点はありません。,不過……在偶像的舞台上\n並沒有滿分。
0000000000000,{user},トップアイドルを目指すなら、\n100点で満足してはいけませんよ。,如果要成為頂尖偶像，\n就不應該滿足於100分。
0000000000000,ことね,はいっ！　\nわかりました、プロデューサー！,好的！\n我知道了，製作人！
0000000000000,ことね,…………でも。,…………但是。
0000000000000,ことね,あたしのダンスを褒めてもらえて……\nちょー嬉しいです。,能得到對我的舞蹈的讚美……\n真的讓我開心。
0000000000000,ことね,それは喜んでも、いーですよね？,開心也可以，對吧？
0000000000000,ことね,もぉ～、プロデューサー？\n楽観的すぎますよぉ！,喂～，製作人？\n你樂觀得太過了吧！
0000000000000,ことね,確かにあたし、最近調子いいし、\n自信アリですけども。,確實最近表現不錯，\n有信心也沒錯。
0000000000000,ことね,アイドルのライブって、\nダンスだけじゃないんですから！,偶像的演出，\n不僅僅是舞蹈！
0000000000000,ことね,あたしの夢を叶えるには、\nまだまだまだまだ実力不足です！,要實現我的夢想，\n還差得遠呢！
0000000000000,{user},（確かな才能、夢への意欲、\nその上……一切の油断がない）,（確實的才能，對夢想的熱情，\n再加上……絲毫不掉以輕心）
0000000000000,{user},（そんなあなただからこそ……\n負ける気がしないんです）,（因為是你這樣的人……\n我才感覺不會輸）
0000000000000,ことね,ちゃんと聞いてますかっ！　\nプロデューサー！！,製作人！！你有好好聽嗎！！
info,adv_pstory_001_fktn_after-step-2-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
