id,name,text,trans
0000000000000,あさり先生,紫雲さんはバレエの経験者です。\n今日はそれにちなんだクイズを。,紫云是有芭蕾舞经验的。\n今天来个和这个相关的问答。
0000000000000,あさり先生,バレエの中にも代表曲というものが\nありまして……,在芭蕾舞中也有一些代表曲目\n……
0000000000000,あさり先生,特にチャイコフスキーが作ったものが、\n三大バレエと呼ばれています。,特别是柴可夫斯基创作的，被称为\n三大芭蕾舞剧。
0000000000000,あさり先生,そのうち2つは、白鳥の湖と\nくるみ割り人形。,其中两个是《天鹅湖》和\n《胡桃夹子》。
0000000000000,あさり先生,では最後の1つはなんでしょうか？,那么最后一个是什么呢？
select,,眠れる森の美女,《睡美人》
select,,ロミオと\nジュリエット,《罗密欧与\n朱丽叶》
select,,曽根崎心中,《曾根崎心中》
0000000000000,あさり先生,正解！　すごいですね！,正确！真厉害！
0000000000000,あさり先生,他の2つに比べて知名度は低い方ですが、\nこちらも名作です。,相比其他两个，这个的知名度较低，\n但也是名作。
0000000000000,あさり先生,ネタバレになってしまうので\n内容は話さないでおきますが……,因为会剧透，所以\n我就不讲内容了……
0000000000000,あさり先生,バレエも総合芸術です。後学のために\n見てはどうでしょうか？,芭蕾舞也是综合艺术。为了学习，\n看看如何？
0000000000000,あさり先生,惜しい！　答えは\n眠れる森の美女です。,可惜！答案是\n《睡美人》。
0000000000000,あさり先生,チャイコフスキーは確かに、\nロミオとジュリエットも作っています。,柴可夫斯基确实也创作了\n《罗密欧与朱丽叶》。
0000000000000,あさり先生,でもそれは演奏会用で、\nバレエ用ではないんですよ。,但那是为音乐会创作的，\n不是为芭蕾舞。
0000000000000,あさり先生,他の作曲家が書いたバレエ音楽の\nロミオとジュリエットがあるので……,其他作曲家也创作了芭蕾舞音乐版的\n《罗密欧与朱丽叶》……
0000000000000,あさり先生,それと間違えちゃったのかも\nしれませんね。,可能你搞混了吧。
0000000000000,あさり先生,なかなかおもしろいですねー。\n……もちろん冗談ですよね？,这也挺有趣的。\n……当然是开玩笑的，对吧？
0000000000000,あさり先生,正解は眠れる森の美女、です。,正确答案是《睡美人》。
0000000000000,あさり先生,曽根崎心中が歌舞伎だとは\n知らなくても……,即使不知道《曾根崎心中》是歌舞伎……
0000000000000,あさり先生,バレエじゃなさそう、\nとは思いません？,也会觉得这不像\n芭蕾舞剧吧？
info,adv_pevent_001_ssmk_school_010.txt,,
译者,gpt-4o-2024-05-13,,
