id,name,text,trans
0000000000000,広,……あのね、プロデューサー。,……你知道嗎，製作人。
0000000000000,広,こんなにアイドルには向いていない\nわたしなのに。,明明我這麼不適合當偶像。
0000000000000,広,最近のわたしは……\nちゃんと、歌って、踊れてる。,最近的我……\n已經可以好好地唱歌、跳舞了。
select,,お祝いをしないと\nいけませんね\n,該慶祝一下\n了呢
select,,次の試練が\n待っていますよ,下一個考驗\n已經在等著你了
0000000000000,広,……わ。,……唔。
0000000000000,広,ありがとう、プロデューサー。\n宝物に、するね。,謝謝你，製作人。\n我會好好珍惜的。
0000000000000,{user},どうか、ちゃんと活用してください。,請好好地善加利用。
0000000000000,広,ふふ……考えておく。,呵呵……我會考慮的。
0000000000000,広,ああ……それは、とっても……\nとっても……,啊……這真是、非常的……\n非常的……
0000000000000,広,……嬉しい。,……我好開心。
info,adv_pstory_001_shro_opening-true-01.txt,,
译者,gpt-3.5-turbo-0125,,
