id,name,text,trans
0000000000000,手毬,プロデューサー、相談があるんだけど。,制作人，我有件事想跟你商量。
0000000000000,手毬,最近、すごく調子がよくて。\nレッスンを増やしてもいい？,最近状态特别好。\n可以增加一些训练吗？
select,,こちらも試して\nみてください,请也试试这个
select,,丁度、提案しよう\nと思っていました,我正好想建议一下
0000000000000,手毬,わかりました。,明白了。
0000000000000,手毬,トップアイドルになるために\n役立つのなら、ぜひ。,如果对成为顶级偶像有帮助的话，那一定要试试。
0000000000000,手毬,話を戻すけど、\nレッスンを増やしてもいいですよね？,回到刚才的话题，\n可以增加一些训练吧？
0000000000000,手毬,さすが私のプロデューサー……\n話がわかるね。,不愧是我的制作人……\n真是明白人。
0000000000000,手毬,もっともっと頑張って……\n新しいスキルを身につけてみせます。,我要更加努力……\n掌握新的技能给你看。
info,adv_pstory_001_ttmr_opening-true-02.txt,,
译者,gpt-4o-2024-05-13,,
