id,name,text,trans
0000000000000,{user},お疲れ様でした、倉本さん。\n最高のライブでしたよ。,辛苦了，倉本同学。\n这是场最棒的演出。
0000000000000,千奈,……先生……わたくしのぜんぶ……\n出し切ってきましたわ。,……老师……我已经把我的全部……\n都发挥出来了。
0000000000000,千奈,……はぁ……はぁ……ふぅぅ～……,……呼……呼……呼～……
0000000000000,{user},ゆっくり呼吸を整えてください。\nほら、水を飲んで。,慢慢调整呼吸。\n来，喝点水。
0000000000000,千奈,……はい……はいぃ……\nありがとうございますぅ……,……嗯……嗯……\n谢谢……
0000000000000,千奈,あの……わたくしのライブ……\n成功だったのですわよね……？,那个……我的演出……\n成功了吧……？
0000000000000,{user},もちろん。,当然。
0000000000000,{user},きっと倉本千奈のファンが、\nたくさん生まれたと思います。,我相信一定有很多倉本千奈的粉丝\n诞生了。
0000000000000,千奈,……なら……はぁ……はぁ……\nよかったですわ。,……那就……呼……呼……\n太好了。
0000000000000,{user},それにしても……,不过……
select,,締まらないですね,感觉有点不够完美呢
select,,良いアイドルに\nなりましたね,你真的变成了一个很棒的偶像
0000000000000,千奈,わ、笑わないでくださいませっ！,请、请不要笑！
0000000000000,千奈,それだけ必死だったのですわ！,我真的很拼命的！
0000000000000,{user},わかっていますよ。\n――よく頑張りましたね。,我知道。\n――你真的很努力了。
0000000000000,千奈,そ、そうでしょうか……？,真、真的吗……？
0000000000000,千奈,こんな有様ですのよ？　\n本当にそう思っていらっしゃいます？,我现在这个样子？\n你真的这么觉得吗？
0000000000000,{user},もちろん。――よく頑張りましたね。,当然。――你真的很努力了。
0000000000000,千奈,えへへ……,嘿嘿……
0000000000000,千奈,……嬉しいですわ。,……真的很开心。
0000000000000,千奈,先生に、そう言っていただけるのも。,老师这样夸奖我，我真的很开心。
0000000000000,千奈,皆さんに喜んでいただけたのも。\nライブを成功させることができたのも。,能让大家高兴，能让演出成功。
0000000000000,千奈,自分を、少しだけ……\n信じられるようになったことも。,也让我开始对自己有了一点点自信。
0000000000000,千奈,先生、わたくしね……\n生まれてからずっと……,老师，我啊……\n从出生以来……
0000000000000,千奈,皆に甘やかされて、\nなに不自由なく育ってきましたわ。,一直被大家宠爱，\n没有任何不便地长大。
0000000000000,千奈,きっと、どんなアイドルよりも\n恵まれていて……,一定比任何偶像都幸运……
0000000000000,千奈,ですけれど、わたくし自身には\nなにもなかったのです。,但是，我自己却什么都没有。
0000000000000,千奈,得意なことも、特別好きなことも、\nなにかを成し遂げたことも……,没有擅长的事，没有特别喜欢的事，\n也没有成就过什么……
0000000000000,千奈,本気で悔しがったことさえ、\nありませんでしたわ。,甚至从未真正感到过悔恨。
0000000000000,{user},いまはもう、違いますね。,现在已经不一样了。
0000000000000,千奈,はい。,是的。
0000000000000,千奈,泣くほど悔しいこと。\nどんなに辛くても投げ出せないこと。,那些让人想哭的悔恨。\n再苦也放不下的坚持。
0000000000000,千奈,大好きなお友達にさえ\n嫉妬してしまう浅ましい気持ち。,甚至对最喜欢的朋友\n也会产生嫉妒的卑劣心情。
0000000000000,千奈,嬉しすぎて、\n抑えきれないほどの感謝。,还有因为太高兴\n无法抑制的感激之情。
0000000000000,千奈,この学園で……\n先生と過ごした日々の中で……,在这所学园里……\n在和老师度过的日子里……
0000000000000,千奈,たくさん、たくさん、\n見つけましたもの。,我发现了很多很多。
0000000000000,千奈,きっと、もう、\nやめることなんてできませんわ。,我想，我已经无法放弃了。
0000000000000,千奈,ふふ……先生のせいですわね。,呵呵……都是老师的错。
0000000000000,千奈,責任、取ってくださいますか？,你会负责吗？
select,,喜んで,乐意至极
0000000000000,千奈,――約束ですわよ。,――这是约定哦。
0000000000000,千奈,ずぅ～～っと一緒に、\nいてくださいませ！,要一直一直，\n陪在我身边哦！
info,adv_pstory_001_kcna_ending-true-01.txt,,
译者,gpt-4o-2024-05-13,,
