id,name,text,trans
0000000000000,清夏,ゲーセンデート～♪,去遊戲中心約會～♪
0000000000000,{user},息抜きに遊びに来ただけですよ。,只是來這裡消遣放鬆而已嘛。
0000000000000,清夏,デートじゃん、それ。\n認めちゃいなよ～。,這不就是約會嗎，承認嘛～。
0000000000000,清夏,あ、ほら。プリあるよプリ！,嘿，看！有拍照的地方呢！
0000000000000,{user},え、ふたりでですか？,嗯，我們一起拍照嗎？
0000000000000,清夏,なんでひとりで撮るわけ～？\nそのために来たんだし！,為什麼要一個人拍照呢～？\n不就是為了這個來的嗎！
select,,仕方ないですね,沒辦法呢
select,,恥ずかしい\nので……,有點害羞\n所以……
0000000000000,清夏,やりーっ♪\nこっちこっち、早く～！,來喲～♪\n這邊這邊，快來～！
0000000000000,清夏,もしかして撮ったことない？\n最初ダケだって～♪,也許你沒有拍過呢？\n只有第一次而已～♪
0000000000000,清夏,ほらほらPっち～。,來嘛來嘛，P製作人～。
0000000000000,{user},次の機会にしましょう。\n心の準備をしておきますから。,我們下次再拍吧。\n我會做好心理準備的。
0000000000000,清夏,え～～～～～。\nつまんな～～～～い。,唉～～～～～。\n好無聊～～～～。
info,adv_pevent_001_ssmk_activity_017-01.txt,,
译者,gpt-3.5-turbo-0125,,
