id,name,text,trans
0000000000000,咲季,うわー、ゲームセンターって\n初めて来たかも……,哇——我好像第一次来游戏中心……
0000000000000,咲季,ねえ、あれってなに？,喂，那是什么？
0000000000000,{user},じゃんけんマシーンですね。\n勝ったら景品がもらえます。,那是猜拳机器哦。\n赢了的话可以得到奖品。
0000000000000,咲季,へー。他のはよくわかんないし、\nあれやってみない？,哦——其他的我不太懂，\n要不试试这个？
select,,やりましょう,那就试试吧
select,,やめて\nおきましょう,还是算了吧
0000000000000,咲季,よーし、やっちゃいなさい！,好嘞，上吧！
0000000000000,{user},負けたら悔しいですし。,输了会很不甘心的。
0000000000000,咲季,ゲームってそういうものじゃないの？,游戏不就是这样的吗？
0000000000000,咲季,まあ、他のを見て回ってからでも\n遅くないわね。,嘛，先看看其他的也不晚。
info,adv_pevent_001_hski_activity_018-01.txt,,
译者,gpt-4o-2024-05-13,,
