id,name,text,trans
0000000000000,{user},（姫崎さんの様子を見に行こう……）,（去看看姫崎的情况吧……）
0000000000000,莉波,ワン、ツー、トントン――\nワン、ツー、ここでジャンプ！,一、二、蹦蹦——\n一、二，在这里跳！
0000000000000,莉波,よしっ、決まったぁ！,好了，成功了！
0000000000000,莉波,はぁ、はぁ、はぁ……,哈，哈，哈……
0000000000000,{user},お疲れ様です。\n調子よさそうですね。,辛苦了。\n状态不错呢。
0000000000000,莉波,あ、{user}くん……,啊，{user}君……
0000000000000,{user},途中からオリジナルのステップに\nなっていたみたいですが……,中途好像变成了原创的舞步呢……
0000000000000,莉波,……～っ！,……～！
0000000000000,莉波,え、ええっと、楽しくなっちゃって、\n身体が勝手に……,呃，那个，玩得太开心了，\n身体不由自主地……
select,,調子がよさそうで\nよかったです,状态不错\n真是太好了
select,,今のステップを\n取り入れましょう,把刚才的舞步\n加入进去吧
select,,どんどん\n成長していますね,你在不断地\n成长呢
0000000000000,莉波,……うん。最近は自分でも、\nすごく成長してるって実感があるんだ。,……嗯。最近我自己也\n感觉到进步很大。
0000000000000,莉波,きみのおかげだよ、\n{user}くん。,这都多亏了你，\n{user}君。
0000000000000,{user},あなたの努力です。,是你的努力。
0000000000000,{user},中間試験に向けて、\n気合いを入れていきましょう。,为了中期考试，\n加油吧。
0000000000000,莉波,うん、がんばるね！\nボーカルレッスン、行ってきます！,嗯，我会努力的！\n去上声乐课了！
0000000000000,莉波,ええっ！？,哎！？
0000000000000,{user},のびのびとしたステップで、\n姫崎さんの自然な魅力が出ていました。,轻松自在的舞步，\n展现了姫崎的自然魅力。
0000000000000,莉波,そ、そう……かなぁ？,是、是吗……？
0000000000000,{user},ダンスを着実にこなすことも、\nもちろん大切ですが、,认真完成舞蹈当然重要，
0000000000000,{user},そういう遊びの部分が、\n魅力になることもあります。,但有时这种自由发挥的部分，\n也能成为魅力。
0000000000000,莉波,ううん、きみがそう言うなら、\nた、試しに取り入れてみようかなっ？,嗯，如果你这么说的话，\n那我就试试看吧？
0000000000000,莉波,そ、そうかなぁ……\nえへへ。,是、是吗……\n嘿嘿。
0000000000000,莉波,きみががんばってくれるから、\n私もがんばらなきゃって、ね。,因为你努力了，\n所以我也必须努力。
0000000000000,{user},ダンスも歌もメキメキ上達してますよ。\nあとは――,你的舞蹈和歌唱都在突飞猛进。\n剩下的就是——
0000000000000,莉波,うん、私自身の魅力を、\nお客さんに伝えること、だよね。,嗯，把我的魅力，\n传达给观众，对吧。
0000000000000,莉波,まだ難しいけど……\nきみを信じて、やってみるよ。,虽然还很难……\n但我相信你，会努力去做的。
info,adv_pstory_001_hrnm_after-step-1-normal-01.txt,,
译者,gpt-4o-2024-05-13,,
