id,name,text,trans
0000000000000,{user},お疲れ様でした。姫崎さんは……,辛苦了。姬崎小姐……
0000000000000,{user},……不合格でした。,……沒通過。
0000000000000,莉波,あ……,啊……
0000000000000,莉波,そ、そっかぁ……\n頑張ったんだけど、なぁ……,是、是嗎……\n雖然努力了，但是……
0000000000000,莉波,まだまだ努力、足りなかったね。\nごめん……なさい……,還是不夠努力呢。\n對不起……
select,,もう一度\nがんばりましょう,再來一次\n加油吧
select,,まだチャンスは\nあります,還有機會的
select,,少し緊張して\nしまいましたね,稍微有點\n緊張了呢
0000000000000,莉波,……う、ん……\nでも……,……嗯……\n但是……
0000000000000,{user},子供のころ、転んだ俺の手をとって、\n立ち上がらせてくれたのはあなたです。,小時候，當我跌倒時，\n是你拉我起來的。
0000000000000,莉波,……――。,……—。
0000000000000,{user},まだ諦めていないのなら、もう一度、\nこの手をとってください。,如果你還沒放棄，請再一次，\n牽起這隻手。
0000000000000,莉波,……{user}くん。\nありがとう。,……{user}君。\n謝謝你。
0000000000000,莉波,お姉さんの私が、こんなところで\n弱音なんて吐いちゃだめだよね。,作為姐姐的我，在這種地方\n不該抱怨才對。
0000000000000,莉波,もう一度、挑戦してみるよ！,我會再挑戰一次！
0000000000000,{user},あなたの魅力が伝わるまで、\n何度でも挑戦しましょう。,直到展現出你的魅力，\n我們再一起努力吧。
0000000000000,莉波,う、ん……でも、また不合格だったら\nどうしよう……,嗯……但是，如果再次不合格的話\n該怎麼辦呢……
0000000000000,莉波,一緒に試験受けた子たち、みんな\n私より歌もダンスもずっとできてて、,和我一起參加考試的孩子們，\n歌唱和舞蹈都比我強，
0000000000000,莉波,なんだか、自信なくしそう……,感覺有點失去自信……
0000000000000,{user},歌やダンスは練習すれば上達します。\nでも、あなたの魅力は――,唱歌和跳舞只要多練習就會進步。\n但是，你的魅力——
0000000000000,{user},決して替えのきかない、\nあなただけのものです。,是無法取代的，\n只屬於你的特質。
0000000000000,莉波,そ、そうかな……,是、是這樣嗎……
0000000000000,{user},はい。あなたの魅力は、\n一番よくわかっているつもりです。,對。你的魅力，\n我最了解了。
0000000000000,莉波,{user}くん……\nうん、わかったよ。,{user}君……\n嗯，我知道了。
0000000000000,莉波,きみの言葉を信じて、\nもう一度、挑戦してみるね。,我會相信你的話，\n再次挑戰看看。
0000000000000,莉波,……～っ！\nれ、練習ではちゃんとできてたのに、,……呀！\n在練習時明明能做好的，但是，
0000000000000,莉波,ステージに立ったら、\n体が固くなっちゃって……,一站上舞台，\n身體就僵硬了……
0000000000000,{user},次はもう少しリラックスして\n試験にのぞみましょう。,下次放鬆一點，\n再去參加考試。
0000000000000,莉波,……うん。\nでも、やっぱり緊張しちゃうよ。,……嗯。\n但是，我還是會緊張的。
0000000000000,莉波,前にユニットを組んでいた頃は、\nここまでじゃなかったんだけどなぁ。,以前組隊時，\n沒有這麼嚴重過啊。
0000000000000,{user},以前は妹っぽいキャラを\n無理に演じていましたが、,以前強行扮演妹妹角色，\n現在展現真實的自己，當然會有所改變。
0000000000000,{user},今は素のあなたを出していますから、\nそれは心持ちも変わってくるでしょう。,從現在開始，盡量保持自然，\n這樣心境也會有所改變。
0000000000000,莉波,ステージの上で素の自分を出すのって、\n初めてだったかも……,在舞台上展現真實的自己，\n可能是第一次……
0000000000000,{user},まずは、そこからですね。普段から、\n自然体を心がけていきましょう。,從這裡開始。平時也要\n保持自然的狀態。
0000000000000,莉波,うん、やってみるよ。\nよろしくね、{user}くん。,嗯，我會試試看。\n請多指教，{user}君。
info,adv_pstory_001_hrnm_after-audition-mid-failure-01.txt,,
译者,gpt-3.5-turbo-0125,,
