id,name,text,trans
0000000000000,広,プロデューサー。\n腕相撲、やってるよ。,制作人。\n他们在玩腕力相扑。
0000000000000,{user},……本当だ。商店街の企画\nでしょうか。,……真的耶。是商店街的活动\n吗？
0000000000000,広,勝ったら、粗品プレゼント。,赢了的话，会送小礼品哦。
0000000000000,広,面白そう。,看起来很有趣。
0000000000000,{user},（……もしかして、\n　挑戦したいのかな？）,（……难道，\n她想挑战一下？）
select,,やってみますか,要试试看吗？
select,,あまりにも無謀,太不自量力了
0000000000000,広,わたしが、勝てると思う？,你觉得我能赢吗？
0000000000000,{user},だからやるんですよね？,所以才要试试不是吗？
0000000000000,広,ふふ。そう。,呵呵。对啊。
0000000000000,{user},相手は屈強な大男です。\n勝つ可能性は0パーセントです。,对手可是个壮汉。\n赢的可能性是0。
0000000000000,{user},さすがにそんな勝負には\n送り出せませんね。,这种比赛我可不能让你参与。
0000000000000,広,すごい。本気で止めてる。,真厉害。你是认真的在阻止我。
0000000000000,{user},アイドルを目指すのとはわけが\n違いますからね。,这和成为偶像可不一样啊。
0000000000000,広,なら、仕方ないね。\nわかった。,那没办法了。\n我明白了。
info,adv_pevent_001_shro_activity_018-01.txt,,
译者,gpt-4o-2024-05-13,,
