id,name,text,trans
0000000000000,{user},麻央さん、次が出番ですが――,麻央小姐，接下來輪到你了——
0000000000000,麻央,はい、大丈夫です。\nちゃんと落ち着いてますよ。,好的，我準備好了。\n我很冷靜。
0000000000000,麻央,可愛い後輩たちも、\n今日はライバルですね……,即使是可愛的後輩們，\n今天也是對手呢……
0000000000000,麻央,……負けません。,……我不會輸的。
0000000000000,麻央,キミがプロデュースしてくれた\n新しいボクを、披露してきますよ。,我會展示由你培育的\n新形象。
select,,コンディションは\nどうですか？,身體狀況\n怎麼樣？
select,,調子は\nよさそうですね,狀態\n看起來不錯呢
select,,少し表情が\n固いですね,表情有點\n生硬呢
0000000000000,麻央,……うん、まあまあですね。,……嗯，還可以啦。
0000000000000,麻央,悪くはないけど、\n正直、ベストではありません。,不算差，\n但坦白說，不是最佳狀態。
0000000000000,麻央,ただ、どんなコンディションでも、,不過，無論狀況如何，\n我會盡力做出最棒的表現。
0000000000000,麻央,今のボクにできる、最高の\nパフォーマンスをしてきます。,我的狀態，\n與觀眾無關。
0000000000000,麻央,ボクのコンディションなんて、\nお客さんには関係ないですから。,觀眾不會在乎\n我的狀況。
0000000000000,{user},そのプロ意識には敬意を抱きます。,對你的專業態度表示敬意。
0000000000000,麻央,見ててください、プロデューサー。\nボクの華麗なプレリュードを。,請看著，製作人。\n我華麗的前奏。
0000000000000,麻央,ふふっ、そう見えますか？,呵呵，是這樣看嗎？
0000000000000,{user},はい。ほどよく力の抜けた、\nいい表情をしています。,是的。你的表情既有力量，\n又放鬆。
0000000000000,麻央,もちろん緊張はしてますけど、\nうん、そうですね……,當然我也有緊張，\n嗯，是的……
0000000000000,麻央,キミと出会う前のボクは、カッコよくて\n完璧な王子様でいなきゃって、,在遇見你之前，我一直以為\n必須是帥氣完美的王子，才能上台，
0000000000000,麻央,そんな気負いがあって、ステージ上で\n楽しむことなんて、できませんでした。,這樣的壓力讓我在舞台上\n無法享受。
0000000000000,麻央,でも今は、アイドルとしてステージに\n立つことが、すごく楽しいんです。,但現在，作為偶像站在舞台上，\n真的很開心。
0000000000000,麻央,見ていてください、プロデューサー。,請看著，製作人。
0000000000000,麻央,可愛くて、カッコイイ、\nボクのステージを――,可愛、帥氣的，\n我的舞台——
0000000000000,麻央,……やっぱり、キミには、\n見抜かれてしまいますね。,……果然，你看穿了。
0000000000000,麻央,……本当は、緊張してます。,……其實，我很緊張。
0000000000000,麻央,ステージに上がるのが\n怖いなんて、思わなかったのに、,以為登上舞台\n不會害怕，
0000000000000,麻央,王子様のボクじゃない、素のボクを\n見せるのが、こんなにも――,但現在，展現真實的自己，\n卻如此——
0000000000000,{user},大丈夫です。素の麻央さんは、\nとても魅力的で、とても可愛い。,沒問題。真實的麻央小姐，\n非常迷人，非常可愛。
0000000000000,麻央,プロデューサー……,製作人……
0000000000000,{user},リラックスして、普段の実力を出せば、\nきっと合格できます。,放鬆，展現平常實力，\n一定能通過的。
0000000000000,麻央,はい、わかりました！\nか、可愛いボクを……見せてきます！,好的，我知道！\n我會展現可愛的自己！
info,adv_pstory_001_amao_before-audition-final-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
