id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏小姐……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。結果太棒了呢。
0000000000000,清夏,ちょー楽しかったし、\n結果までいいとか、最高じゃん！,好開心啊，\n結果也這麼好，太棒了！
select,,全てが最高でした,一切都太棒了
select,,今こそ気を\n引き締めましょう,現在該\n收緊一下了
select,,感想を\n教えてください,請告訴我們你的感想
0000000000000,清夏,Pっちもべた褒めじゃん。\nそんなに良かった？,製作人也是過分稱讚了呢。\n這麼滿意？
0000000000000,{user},とても。,非常滿意。
0000000000000,清夏,へへっ、ありがと♪,嘻嘻，謝謝♪
0000000000000,{user},この最高の状態で、最高のライブを\n見せてください。,在這樣最棒的狀態下，請展現出最棒的演出吧。
0000000000000,清夏,おっけ～♪\nあたしの最高のステージ、見せたげる！,好哦～♪\n我會展現出最棒的舞台！
0000000000000,清夏,やっぱお堅いなぁ～、Pっちは。,製作人真是一本正經呢。
0000000000000,清夏,大丈夫だって！\n今のあたしは、無敵だし？,沒問題的！\n現在的我，無敵的對吧？
0000000000000,清夏,ライブだって、今日のパフォーマンス\n以上にしてみせるからさ♪,就算是演出，也會超越今天的表現\n來展示♪
0000000000000,清夏,……今、ステージに立てるのが\n嬉しくて、楽しいんだ。,……現在站在舞台上，\n感到開心又快樂。
0000000000000,清夏,だから、絶対に失敗なんかしない。,所以，絕對不會失敗的。
0000000000000,清夏,安心して見ててよ、Pっち♪,放心吧，製作人♪
0000000000000,清夏,感想？　そんなの決まってるじゃん。,感想？當然是固定的啦。
0000000000000,清夏,サイッコーに、楽しかったっ！！,超級、超級有趣！！
0000000000000,{user},……ライブも、問題なさそうですね。,……演出看起來也沒問題呢。
0000000000000,清夏,そんなのトーゼン！,當然沒問題啦！
0000000000000,清夏,今までにないくらいのパフォーマンス\n見せたげるから♪,會展現出前所未有的表現\n給你看的♪
0000000000000,{user},頼もしいです。,真是令人欣慰。
0000000000000,清夏,あはは、でしょ？,哈哈，是吧？
0000000000000,清夏,Pっちも、あたしのライブ\n楽しんでってね♪,製作人也請享受我的演出♪
info,adv_pstory_001_ssmk_after-audition-final-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
