id,name,text,trans
0000000000000,あさり先生,いよいよ、最終試験も間近に\n迫ってきましたね。,終於，最終考試也快到了呢。\n迫在眉睫。
0000000000000,あさり先生,悔いの残らないよう、\n気合を入れて頑張りましょう！,為了不留下遺憾，\n讓我們振作精神加油吧！
0000000000000,あさり先生,最後の追い込み、何を重点的に\nレッスンしますか？\n,在最後的冲刺中，你想要重點\n練習什麼呢？\n
select,,ボーカルを\n重点的に,著重練習\n歌唱部分
select,,ダンスを重点的に,著重練習\n舞蹈部分
select,,ビジュアルを\n重点的に,著重練習\n視覺部分
0000000000000,あさり先生,自信を持って歌えるよう、\n調子を整えましょう！,讓自己有信心地唱歌，\n調整好狀態吧！
0000000000000,あさり先生,審査員がくぎ付けになるような\nダンスに仕上げましょう！,把舞蹈做到讓評審們\n都看得出神吧！
0000000000000,あさり先生,最高のパフォーマンスをするために、\n魅せ方の最終調整をしていきましょう！\n,為了做出最棒的表現，\n我們來做最後的魅力調整吧！\n
0000000000000,あさり先生,最終試験で悔いが残らないように、\nしっかりと仕上げましょうね！\n,為了不讓最終考試後\n有遺憾，我們要好好完成！\n
0000000000000,あさり先生,ファイトー、オー！,加油喔，歐ー！
info,adv_pstory_001_cmmn_before-hard-final-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
