id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,今天因為即將來臨定期考試，\n就把自習時間用在課堂上吧。
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,有製作人在的話，\n要有什麼煩惱就諮詢他後再做決定。
0000000000000,清夏,Pっちが急に教室来るから、\nびっくりしたよ～！,P製作人突然來到教室，\n把我嚇了一跳～！
0000000000000,清夏,お詫びに、楽なのにして\nくれてもいーよ♪,要是能代替我做些輕鬆的事情作為道歉，\n那就太好了♪
select,,ボーカルレッスン,主唱課程
select,,ダンスレッスン,舞蹈課程
select,,ビジュアル\nレッスン,視覺\n課程
0000000000000,清夏,歌かー。\nま、いいケド？,唱歌嗎~。\n嗯，可以吧？
0000000000000,{user},やる気があってよかったです。,很高興看到你這麼有幹勁。
0000000000000,清夏,でしょ？\n終わったらご褒美よろしく～♪,對吧？\n結束後就期待獎勵囉～♪
0000000000000,清夏,えー……\nやだー……,咦——…\n不要啦——…
0000000000000,清夏,Pっちのイジワルー。\n……ま、しょーがないかぁ～。,製作人真是壞心眼啊。\n……嘛，沒辦法啦～。
0000000000000,清夏,はいはーい。,好啦好啦。
0000000000000,清夏,準備してくるから待っててね～♪\n終わったらどこ行く？,我去準備一下，你等我哦～♪\n結束後要去哪裡呢？
info,adv_pevent_001_ssmk_school_011.txt,,
译者,gpt-3.5-turbo-0125,,
