id,name,text,trans
0000000000000,{user},（さて、篠澤さんの様子は……）,（接下來，篠澤的情況是……）
0000000000000,ビジュアルトレーナー,いいかしら、広ちゃん。　\nアイドルにとって大事なのは、,聽著，廣君。對於偶像來說，重要的不僅僅是歌和舞蹈。
0000000000000,ビジュアルトレーナー,歌とダンスだけじゃないの。\nユニークで、美しく、可愛らしい――,要磨練外表的力量！獨特、美麗、可愛——
0000000000000,ビジュアルトレーナー,外見の力を磨くこと！\nこれ、とっても重要よ。,這很重要哦。
0000000000000,広,うん、それは、わかる。\n……わたしの現状は？,嗯，我懂的。\n……我的現狀呢？
0000000000000,ビジュアルトレーナー,ごめんなさいね。\n……いまの広ちゃんは、だめだめ。,抱歉哦。……現在的廣君，糟糕透了。
0000000000000,広,わたし…………かわいくない？,我……不夠可愛嗎？
0000000000000,ビジュアルトレーナー,あらあら……少し語弊があったわね。,唉呀……有點誤會了呢。
0000000000000,ビジュアルトレーナー,代わりに説明してあげて――\nプロデューサーちゃん。,讓我來解釋一下—— 製作人。
0000000000000,広,あ、プロデューサー。,啊，製作人。
0000000000000,{user},お疲れ様です、篠澤さん。\n話は聞かせてもらいました。,辛苦了，篠澤。我聽完了。
0000000000000,{user},あなたの外見についてですが――,關於你的外表——
select,,可愛いと思います,我覺得很可愛
select,,誰よりも\n魅力的です,比任何人都\n有魅力
select,,伸びしろが\nありそうですね,潛力\n很大呢
0000000000000,広,…………そ、そう。,…………是、是的。
0000000000000,広,……はじめて褒めてもらったかも。,……第一次被讚美吧。
0000000000000,ビジュアルトレーナー,ちょっと？　\nプロデューサーちゃん？,喂？ 製作人？
0000000000000,{user},い、いや……さすがにそんなことは\n……ない……かと。,那、那個……應該不至於\n……是吧……。
0000000000000,ビジュアルトレーナー,褒めたことがあると\n断言できない時点でアウトよ。,連被讚美的事都\n說不清楚那就糟糕了。
0000000000000,{user},……くっ…………,……咕嘟咕嘟……
0000000000000,{user},（下手に褒めると落ち込む件を、\nどうやって説明すれば……）,（該如何解釋，如果不小心讚美會讓\n對方難過這點呢……）
0000000000000,広,プロデューサー。\n褒めてくれて、ありがとう。,製作人。\n謝謝你的讚美。
0000000000000,広,わたし……\nがんばって、もっとかわいくなる。,我……\n會努力變得更可愛的。
0000000000000,{user},トップアイドルにも負けませんよ。,不會輸給頂尖偶像的。
0000000000000,広,……………………………………,……………………………………
0000000000000,広,……急にたくさん褒めるから、\n恥ずかしい。,……突然這麼多讚美，\n讓我很尷尬。
0000000000000,ビジュアルトレーナー,あはは、惚れ込んでるわねー、\nプロデューサーちゃん。,哈哈，製作人似乎迷戀上了呢。
0000000000000,ビジュアルトレーナー,だけど生徒への解説としては不合格。\n広ちゃんに足りないのは――,但作為向學生解釋不合格。廣君缺少的是——
0000000000000,{user},自分の魅力を他者に\n伝えるテクニックです。,向他人展現自己的魅力\n的技巧。
0000000000000,{user},まずは自覚してください。\n自分の外見は、魅力的なのだと。,首先要意識到。你的外表是迷人的。
0000000000000,広,……やってみる。,……我會試試看。
0000000000000,広,……わたしの仮説の\n正しさが証明された。,……我的假設\n得到證實了。
0000000000000,広,プロデューサーはやっぱり、\nわたしが好み。,製作人果然，\n是我的菜。
0000000000000,広,伸びしろ？,潛力？
0000000000000,ビジュアルトレーナー,いまよりもず～っと、可愛くなる\n可能性があるってコト。,比現在要更、更可愛的\n可能性存在著。
0000000000000,ビジュアルトレーナー,そんな才能、磨いて輝かせなきゃ、\nもったいないじゃない。,這樣的才華，如果不努力磨練，\n真是太可惜了。
0000000000000,広,わたしが、かわいくなったら……,如果我變得可愛了……
0000000000000,広,プロデューサーは、うれしい？,製作人會高興嗎？
0000000000000,{user},とても。ぜひ、見たいと思います。,非常高興。我很想看到。
0000000000000,広,そっか。なら……,原來如此。那麼……
0000000000000,広,がんばって、かわいくなる。,我會努力，變得更可愛。
info,adv_pstory_001_shro_after-step-2-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
