id,name,text,trans
0000000000000,莉波,わーっ。\nすごい音！,哇。\n好大的声音！
0000000000000,{user},ゲームセンターには\nあまり来ませんか？,你不怎么来游戏中心吗？
0000000000000,莉波,うん。ほとんど……\nどんなのがあるんだろう。,嗯。几乎不怎么来……\n这里有什么好玩的呢。
0000000000000,莉波,あれってなにかな。\n占い師の人形……？,那是什么？\n算命师的玩偶……？
0000000000000,{user},ご名答です。\n占いができるゲームですよ。,答对了。\n这是可以算命的游戏哦。
select,,やって\nみましょうか,要不要\n试试看？
select,,別のことを\nしましょう,还是做\n别的事情吧
0000000000000,莉波,うん。\n……ちょっと、ドキドキするね。,嗯。\n……有点小紧张呢。
0000000000000,{user},悪い結果になったら、\nなんとなく嫌ですし。,结果要是不好，\n总觉得会不太开心。
0000000000000,莉波,ただのゲームだよ？\nでも、言いたいことはわかるかな。,只是个游戏啦？\n不过，我懂你的意思。
0000000000000,莉波,運が悪いからダメって\n言われたくないよね。,谁都不想被说运气不好吧。
0000000000000,莉波,うん、やめとこっか。\n終わったらまた来よう？,嗯，那就算了吧。\n结束后我们再来玩？
info,adv_pevent_001_hrnm_activity_018-01.txt,,
译者,gpt-4o-2024-05-13,,
