id,name,text,trans
0000000000000,担任教師,今日は定期試験が近いこともあり、\n自習時間をレッスンにあててよし。,今天因為即將到來的定期考試，\n就將自習時間用在課堂上吧。
0000000000000,担任教師,プロデューサーがいるものは\n相談して決めなさい。,有製作人在的話，\n就諮詢他後再做決定吧。
0000000000000,ことね,あ～、だからプロデューサーが\nここにいるんだぁ。,啊～，所以製作人\n就在這裡啊。
0000000000000,{user},さあ、さっそく\n始めましょうか。,那麼，我們\n馬上開始吧。
0000000000000,ことね,ん～、なにするんですか？,嗯～，要做什麼呢？
0000000000000,{user},（さて、今日のレッスンは……）,（嗯，今天的課程是……）
select,,ボーカルレッスン,聲樂課程
select,,ダンスレッスン,舞蹈課程
select,,ビジュアル\nレッスン,視覺\n課程
0000000000000,ことね,おっけ～。\nそれじゃ準備しますねぇ～。,好的～。\n那我來準備一下咯～。
0000000000000,ことね,ふんふ～ん♪\nおうたのレッスンっと♪,嗯嗯♪\n來開始歌唱課程♪
0000000000000,ことね,あ～、体力つけろってことですねぇ～。,啊～，是要增強體力的意思嗎～。
0000000000000,ことね,苦手だけど、やるかッ。\nよろしくお願いしまァ～～す。,雖然不擅長，但那麼就來吧。\n拜託了～～。
0000000000000,ことね,わっかりましたぁ！\nくふふ、あたしの得意科目！,明白了！\n嘻嘻，這是我的強項科目！
0000000000000,ことね,まっかせてくださ～～～い♪,交給我吧～～～♪
info,adv_pevent_001_fktn_school_011.txt,,
译者,gpt-3.5-turbo-0125,,
