id,name,text,trans
0000000000000,麻央,っ！,唔！
0000000000000,麻央,……同点ですね。,……平手呢。
0000000000000,{user},ぴったり同じ数字になるとは。,居然完全相同。
0000000000000,麻央,こうなったら白黒はっきり\nさせてみませんか？,既然这样，要不要分个胜负？
select,,とことん\nやりましょう,彻底\n比一比
select,,手を痛めますよ,会伤到手的哦
0000000000000,麻央,はぁ、はぁ……\n同点、ですね……,呼，呼……\n还是平手呢……
0000000000000,{user},故障を疑いたくなるくらい\n同じですね……,相同到让人怀疑是不是故障了……
0000000000000,麻央,でもこれ、見方を変えれば\n息がぴったりってことじゃないですか？,不过换个角度看，这是不是说明我们配合得很好？
0000000000000,{user},すごい角度から見ましたね。\nでも、同意しておきます。,这个角度真特别……\n不过，我同意。
0000000000000,麻央,ふふっ。じゃあ仲良しってことで、\nご飯食べに行きましょうか。,呵呵。那么就当是好朋友了，\n一起去吃饭吧。
0000000000000,{user},うっ……！,啊……！
0000000000000,麻央,プロデューサー！\nだ、大丈夫ですか？,制作人！\n你、你没事吧？
0000000000000,{user},だ、大丈夫です……\n麻央さんじゃなくてよかった。,我、我没事……\n幸好不是麻央你。
0000000000000,麻央,プロデューサーでもダメですよ！\n病院に行きましょう！　病院！,就算是制作人也不行！\n我们去医院吧！去医院！
0000000000000,麻央,そんな失敗しませんよ。,我不会犯这种错误的。
0000000000000,{user},今は慎重になりましょう。\n怪我の可能性は排除します。,现在我们要谨慎点。\n不能有受伤的可能。
0000000000000,麻央,……わかりました。\n本命はオーディションですもんね。,……明白了。\n主要目标是试镜嘛。
0000000000000,麻央,それが終わったら、また来ましょうね。\n約束ですよ？,试镜结束后，再来一次吧。\n答应我哦？
info,adv_pevent_001_amao_activity_017-02.txt,,
译者,gpt-4o-2024-05-13,,
