id,name,text,trans
0000000000000,清夏,あはは、思ってたより\nぜーんぜん、駄目だったよ～。,啊哈哈，比我想的還要\n遠遠差啦～。
0000000000000,清夏,ゴメン、Pっち！,對不起，P 製作人！
0000000000000,{user},清夏さんが謝ることではありません。,琴音小姐不需要道歉。
0000000000000,清夏,んー、でもさ？,嗯，但是呢？
0000000000000,清夏,結局、Pっちが思ってた感じには\nいかなかったわけじゃん。,結果，還是沒達到\nP 製作人期待的感覺呢。
0000000000000,清夏,だから、ゴメン。\n今までありがとね！,所以，對不起。\n感謝你至今的幫助！
0000000000000,{user},謝るくらいなら、\n最高のステージを目指しましょう。,不如努力朝最棒的舞台邁進，\n比起道歉更實際吧。
0000000000000,清夏,……Pっち、マジで言ってる？,……P 製作人，你是認真的嗎？
select,,はい,是的
select,,冗談です,開玩笑的
0000000000000,清夏,はぁー？\nPっち、やっぱ節穴じゃん。,哈？\nP 製作人，果然有點笨呢。
0000000000000,清夏,こんなコトになってんのに、\nまーだそんなこと言うんだ。,已經變成這樣了，\n還一直在那樣說。
0000000000000,{user},まだ清夏さんは、諦められて\nいないでしょう？　アイドルを。,清夏小姐還沒有放棄，\n成為偶像這件事吧？
0000000000000,清夏,そ、そんなことないし～？,才、才不是這樣～？
0000000000000,清夏,こんな無様な模擬演習になったし、\nもうじゅーぶんっ！,已經變得這麼丟臉，\n已經足夠了！
0000000000000,清夏,そ、そっかぁ～。\nま、そーだよね～。,是、是這樣呢～。\n就是這樣～。
0000000000000,{user},……とでも言うと思いましたか？,……你以為我會這麼說嗎？
0000000000000,{user},諦めませんよ。\n清夏さんが、諦めるまでは。,我不會放棄。\n直到琴音小姐放棄為止。
0000000000000,清夏,……諦めてないなんて、\n一言も言ってないんだけど～？,……我可沒說我放棄了哦～？
0000000000000,清夏,なんでPっちは、そんなに\nあたしが諦めないって思ってんの？,為什麼你這麼確信\n我不會放棄呢？
0000000000000,{user},だって、諦めるならいつでも\nリタイアすることが出来たはずです。,因為如果你要放棄，\n隨時可以退出比賽。
0000000000000,{user},それなのに、あなたは最後の\nステージまで立ち続けた。,然而，你一直堅持到最後的\n舞台上。
0000000000000,清夏,そ、それは……ほらっ！\nなんか、合格しちゃったからさ。,這、這個……嘿！\n因為，嗯，通過了考核啦。
0000000000000,清夏,不合格になった、他の子とかに\n悪いっていうか～。,如果不合格，對其他孩子們來說\n也不太好意思～。
0000000000000,{user},今は、そういうことに\nしておきましょう。,現在就先這樣吧。
0000000000000,清夏,もー！　うるさ～い！,嘁！　好吵～！
0000000000000,{user},明日からもレッスンはやりますので、\nそのつもりで。,明天也會繼續上課，\n請做好心理準備。
0000000000000,清夏,ぜんっぜん、あたしの話\n聞いてくんないじゃん。,完全沒有在聽我的話\n嘛。
0000000000000,清夏,よーは、Pっちを諦めさせれば\nいーわけっしょ？,總之，只要讓P 製作人放棄，\n就沒問題了對吧？
0000000000000,清夏,もう一度だけ、付き合ってあげるよ。\n次こそ諦めさせたげる。,再給你一次機會，\n下次一定讓你放棄。
0000000000000,清夏,覚悟しててよね～♪,準備好了哦～♪
info,adv_pstory_001_ssmk_ending-normal-05.txt,,
译者,gpt-3.5-turbo-0125,,
