id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏……
0000000000000,{user},合格です。まずまずの結果でしたね。,合格了。成绩还不错。
0000000000000,清夏,まずまずか～。\nPっちも厳しいことゆーね。,还不错吗～。\nP小子也挺严格的嘛。
select,,約束のためには\n必要でしょう,为了约定\n这是必要的
select,,優しく\nしましょうか？,要不要\n温柔点？
select,,それが\n事実ですから,因为\n那是事实
0000000000000,清夏,約束のためっての、ズルくない？,说是为了约定，有点狡猾吧？
0000000000000,{user},こう言ったほうが、清夏さんには\n効くかと思いまして。,这样说的话，清夏可能\n会更有动力。
0000000000000,清夏,……あたしのこと、\nよくわかってんね。,……你还真了解我啊。
0000000000000,清夏,約束を……夢を叶えるためにも、\nもっと頑張んないと。,为了实现约定……实现梦想，\n我得更加努力。
0000000000000,清夏,Pっち、反省会やろっ！,P小子，开个反省会吧！
0000000000000,清夏,え、してほしいって言ったら、\nしてくれんの？,如果我说想要开，你会开吗？
0000000000000,{user},しません。,不会。
0000000000000,清夏,えー、Pっちひどっ！,哎，P小子太过分了！
0000000000000,清夏,せっかく試験に合格したんだし～、,难得通过了考试，
0000000000000,清夏,もーちょっと優しくしてくれても\n良くない？,能不能对我温柔点嘛？
0000000000000,{user},最終試験に合格したら考えます。\nそのためにも、反省会ですよ。,通过最终考试再说。\n所以，现在我们开反省会吧。
0000000000000,清夏,うっわ、Pっちの鬼～！,哇，P小子真是个鬼！
0000000000000,清夏,直球じゃん。,真是直白。
0000000000000,清夏,でも、Pっちの言うとーりなんだよね～,不过，P小子说的也没错～
0000000000000,{user},分かっているなら、話が早い。,既然你明白，那就好办了。
0000000000000,清夏,はいはい、これからもレッスン\n頑張りますよ～。,好吧好吧，我以后会更加努力\n练习的。
0000000000000,清夏,次は、絶対にいい順位とるから。\n楽しみにしててね♪,下次，我一定会拿个好名次的。\n你就期待着吧♪
info,adv_pstory_001_ssmk_after-audition-mid-normal-03.txt,,
译者,gpt-4o-2024-05-13,,
