id,name,text,trans
0000000000000,莉波,いよいよ、だね……,終於到了呢……
0000000000000,{user},はい。\nこの中間試験は――,嗯。\n這次的期中考試——
0000000000000,{user},姫崎さんがアイドルになるための、\n最初の登竜門です。,是姬崎小姐成為偶像的第一道關卡。
0000000000000,莉波,はああ……\nき、緊張するなぁ。,是啊……\n好、好緊張啊。
0000000000000,莉波,歌もダンスのレッスンも、\n頑張ってきたつもりだけど……,雖然我努力練習了歌唱和舞蹈……
0000000000000,莉波,やっぱり、怖い……かも。,但果然還是有點害怕呢。
select,,大丈夫です！,沒問題！
select,,リラックス\nしましょう,放鬆一下\n吧
select,,信じてください,請相信我
0000000000000,莉波,で、でも……,可是……
0000000000000,{user},あなたの日々の努力を、\nひたむきな練習をずっと見てました。,我一直看著你的努力，\n堅持不懈的練習。
0000000000000,{user},プロデューサーとして保証します。\nあなたは――大丈夫です。,作為製作人，我保證。\n你——沒問題的。
0000000000000,莉波,{user}くん……\n……ありがとう。,{user}君……\n……謝謝你。
0000000000000,莉波,不思議だね。きみの言葉で、\n不安な気持ちが吹きとんじゃったよ。,很神奇呢。聽你說的話，\n不安的心情就消失了。
0000000000000,莉波,しっかり見ててね、\nお姉さんの晴れ舞台！,好好看著吧，\n姐姐的舞台！
0000000000000,{user},深呼吸して……\nすーはー、すーはー……,深呼吸……\n呼——吸——
0000000000000,莉波,すーはー……,呼——吸——
0000000000000,{user},背筋をぴんと伸ばして……,挺直背脊……
0000000000000,莉波,んっ……んんん～っ♪\nすーはー……,嗯——嗯嗯～♪\n呼——吸——
0000000000000,{user},手のひらに指をあてて……\n人の字を三回書いてください。,手掌放在手心上……\n寫出「人」這個字三次。
0000000000000,莉波,ええっと、人、人、ひと……\n……って、子供のおまじないかなぁ！,嗯，人、人、人……\n……這是小孩子的咒語吧！
0000000000000,{user},リラックスできましたか？,放鬆了嗎？
0000000000000,莉波,……え、あ、うん！\n緊張がほぐれた気がするよ。,……嗯、啊！\n感覺緊張消解了。
0000000000000,莉波,もう大丈夫！\nそれじゃあ、行ってくるね！,我沒問題了！\n那我去了！
0000000000000,{user},あなたをプロデュースしたいと思った、\nその直感に間違いはありませんでした。,我想培育你，\n對你的直覺並沒有錯。
0000000000000,{user},これでも、アイドルを見る目には\n自信があるつもりです。,即便如此，我對偶像的眼光\n也是有自信的。
0000000000000,莉波,{user}くん……,{user}君……
0000000000000,莉波,……ありがとう。\nまだ自信、持てなかったけど――,……謝謝。\n雖然還沒有自信——
0000000000000,莉波,きみが信じてくれるなら、\n私も自分を信じてみる。,如果你相信我，\n我也會試著相信自己。
0000000000000,莉波,きみの直感、間違いじゃなかったって、\nステージで証明してみせるよ。,你的直覺沒錯，\n我會在舞台上證明。
info,adv_pstory_001_hrnm_before-audition-mid-normal-01.txt,,
译者,gpt-3.5-turbo-0125,,
