id,name,text,trans
0000000000000,手毬,息抜きでカラオケに来るなんて。,来KTV放松一下啊。
0000000000000,手毬,休みもレッスンだと思えってこと？,休息时间也要当作练习吗？
0000000000000,{user},いえ、全然そういうつもりは。,不，完全没有这个意思。
0000000000000,手毬,どっちでも、無様な歌は\n聞かせられない。,不管怎样，不能唱难听的歌。
0000000000000,手毬,本番だと思って歌いますから。,我会当成正式演出来唱的。
select,,わかりました,明白了
select,,やめて\nおきましょう,还是算了吧
0000000000000,{user},月村さんの息抜きですから、\nやりたいようにやってください。,这是月村小姐的放松时间，想怎么做就怎么做吧。
0000000000000,手毬,よくわかってるじゃないですか。,你真是很懂嘛。
0000000000000,手毬,最後まで全力でいくから、\nついてきてね。,我会全力以赴到最后，跟上哦。
0000000000000,{user},リラックスして力を抜いて……\n今日はそんな日です。,放松点，别太用力……今天就是这样的日子。
0000000000000,{user},もっとしっかり、切り替えましょう。\nできませんか？,我们要更好地切换状态。不能做到吗？
0000000000000,手毬,そ、そのくらいできますっ！,这、这点小事我当然可以做到！
0000000000000,手毬,じゃあ、童謡でも入れますねっ！,那我就点首童谣吧！
info,adv_pevent_001_ttmr_activity_018-01.txt,,
译者,gpt-4o-2024-05-13,,
