id,name,text,trans
0000000000000,{user},お疲れ様でした。咲季さんは……,辛苦了。咲季小姐……
0000000000000,{user},不合格でした。,不合格。
0000000000000,咲季,なっ……,嘛……
0000000000000,咲季,なぁんですってぇ～～～～～～～！！！,到底怎麼回事啊～～～～～～～！！！
0000000000000,咲季,こ、このわたしが……\nこの花海咲季がっ……！,這、這個我……\n這個花海咲季……！
select,,（黙って\n見ていよう）,（就這樣\n靜靜地看著）
select,,ポジティブに\n考えましょう,讓我們\n保持積極態度
select,,妹さんが会いに\n来ていますよ,妹妹來找你了喔
0000000000000,咲季,ぐぬぬぬぬぬぅ～～～～～～～ッ！！,呣呣呣呣呣呣呣～～～～～～～！！
0000000000000,咲季,うぎぎぎぎぎぃ～～～～～～～～！！,呜咿咿咿咿咿～～～～～～～～！！
0000000000000,咲季,あ゛ぁ～～～～～っ！！\n負！　け！　たぁっ！！,啊～～～～～！！\n輸！給！了！！
0000000000000,咲季,……はぁっ……はぁっ…………,……哈啊……哈啊……
0000000000000,{user},落ち着きましたか？,冷靜下來了嗎？
0000000000000,咲季,は？　息切れしたから、\n中断しただけだけど？,咦？ 因為喘不過氣，\n只是稍微中斷了而已？
0000000000000,{user},……失礼しました。\n存分に続きをどうぞ。,……失禮了。\n請繼續盡情表達。
0000000000000,咲季,う～～～～が～～～～～～～～！！,嗚～～～～噶～～～～～～～！！
0000000000000,咲季,く～～や～しぃ～～～～～～ッ！！,咕～夜～視～～～～～～～～！！
0000000000000,{user},咲季さんの伸びしろが、まだまだ\n残っていることがわかった、と。,咲季小姐的潛力，還有很多\n可以發揮的地方呢。
0000000000000,咲季,……ふん、\nそれは確かに喜ばしいコトね。,……哼，\n確實是令人高興的事情。
0000000000000,咲季,だからって、負けて喜ぶのは\nわたしじゃないわ！！,但即使如此，輸了也\n不是我會開心的事情！！
0000000000000,咲季,プロデューサー。わたしこれから、\n思いっきり悔しがるから。,製作人。接下來，我會\n盡情地感到懊惱的。
0000000000000,咲季,それが終わったら反省会よ！　\nいいわね！,等那結束後就是反省會！\n好吧！
0000000000000,咲季,！？,！？
0000000000000,咲季,じゅ、10秒だけ待って！！　\nすぐに立ち直るから！！,等、等我10秒！！\n馬上就會振作起來！！
0000000000000,{user},10、9、8、7、6、5、4、3、2、1……,10、9、8、7、6、5、4、3、2、1……
0000000000000,咲季,数えるのはやいぃ！？\nはいっ！　立ち直ったわ！,數得這麼快！？\n好了！我振作起來了！
0000000000000,咲季,さ！　いつでも呼んでいいわよ！,來吧！隨時可以叫我！
0000000000000,{user},大丈夫ですか？,你還好嗎？
0000000000000,咲季,妹の前で負けたこと？,在妹妹面前輸了？
0000000000000,咲季,これくらいで幻滅されるなら……\n話は簡単だったんだけどね。,如果這點就讓你幻滅……\n那事情就簡單多了。
0000000000000,咲季,弱音はおしまい！　いまのわたしは\n無敵のお姉ちゃんなんだから！,抱怨結束！現在的我是\n無敵的姐姐！
info,adv_pstory_001_hski_after-audition-final-failure-01.txt,,
译者,gpt-3.5-turbo-0125,,
